quarter,N_t,P_Positive,P_Neutral,P_Negative
2023Q1,176,0.5625,0.1875,0.25
2023Q2,671,0.6080476900149031,0.15201192250372578,0.2399403874813711
2023Q3,115,0.46956521739130436,0.23478260869565218,0.2956521739130435
2023Q4,144,0.4097222222222222,0.22916666666666666,0.3611111111111111
2024Q1,143,0.4125874125874126,0.23076923076923078,0.35664335664335667
2024Q2,348,0.4511494252873563,0.1781609195402299,0.3706896551724138
2024Q3,152,0.40131578947368424,0.19078947368421054,0.40789473684210525
2024Q4,188,0.46808510638297873,0.2553191489361702,0.2765957446808511
2025Q1,152,0.3684210526315789,0.27631578947368424,0.35526315789473684
2025Q2,1983,0.6111951588502269,0.16137165910237014,0.22743318204740293
2025Q3,2652,0.52526395173454,0.1738310708898944,0.3009049773755656
2025Q4,914,0.48358862144420134,0.18271334792122537,0.3336980306345733
2026Q1,1243,0.46983105390185037,0.19710378117457764,0.333065164923572
2026Q2,430,0.45348837209302323,0.22093023255813954,0.32558139534883723
